"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.376375003E-3,5.279521179E-1,1.728904724E-1,1.029978149E1,1.031475271E1
8.579624999E-3,1.495390320E-1,2.776725769E-1,9.760003967E0,9.765098127E0
1.853562500E-2,5.987548828E-2,2.475851440E-1,9.414223022E0,9.417668427E0
2.849162500E-2,1.564247131E-1,2.526745605E-1,9.786199493E0,9.790710579E0
3.844762500E-2,2.865042114E-1,2.368075562E-1,9.859397278E0,9.866401429E0
4.840362500E-2,4.415817261E-2,2.601589966E-1,9.544452209E0,9.548099320E0
5.835962500E-2,1.984872437E-1,2.302212524E-1,9.736951904E0,9.741695509E0
6.831500000E-2,2.017803955E-1,2.556683350E-1,9.769883423E0,9.775310927E0
7.827100000E-2,1.218466187E-1,2.406994629E-1,9.603878632E0,9.607667126E0
8.822700000E-2,1.724414062E-1,2.480342102E-1,9.737700348E0,9.742384979E0
9.818300000E-2,1.875599670E-1,2.389031982E-1,9.741143188E0,9.745877287E0
1.081390000E-1,1.273851013E-1,2.507286072E-1,9.641001434E0,9.645102408E0
1.180950000E-1,1.686991882E-1,2.448907471E-1,9.735754395E0,9.740294889E0
1.280510000E-1,1.633103943E-1,2.496807861E-1,9.709409180E0,9.713991836E0
1.380070000E-1,1.453477478E-1,2.511776733E-1,9.671238556E0,9.675591527E0
1.479630000E-1,1.811233521E-1,2.448907471E-1,9.720486145E0,9.725257222E0
1.579190000E-1,1.613644409E-1,2.525248718E-1,9.687105560E0,9.691739856E0
1.678750000E-1,1.522334290E-1,2.591111755E-1,9.687854004E0,9.692514061E0
1.778310000E-1,1.624122620E-1,2.371069336E-1,9.717492371E0,9.721741378E0
1.877880000E-1,1.486408997E-1,2.468367004E-1,9.696985016E0,9.701264911E0
1.977440000E-1,1.537303162E-1,2.529739380E-1,9.702972565E0,9.707487080E0
2.077000000E-1,1.625619507E-1,2.392025757E-1,9.717492371E0,9.721795217E0
2.176560000E-1,1.489402771E-1,2.414479065E-1,9.697284393E0,9.701433137E0
2.276120000E-1,1.558259583E-1,2.430944824E-1,9.712852020E0,9.717143151E0
2.375680000E-1,1.573228455E-1,2.493814087E-1,9.700727234E0,9.705207387E0
2.475240000E-1,1.667532349E-1,2.525248718E-1,9.683662720E0,9.688389914E0
2.574800000E-1,1.624122620E-1,2.402503967E-1,9.693841553E0,9.698178285E0
2.674360000E-1,1.591191101E-1,2.558180237E-1,9.693691864E0,9.698372219E0
2.773920000E-1,1.678010559E-1,2.484832764E-1,9.697583771E0,9.702217897E0
2.873480000E-1,1.634600830E-1,2.519261169E-1,9.708211670E0,9.712855388E0
2.973040000E-1,1.535806274E-1,2.477348328E-1,9.712253265E0,9.716626114E0
3.072600000E-1,1.607656860E-1,2.417472839E-1,9.719737701E0,9.724072621E0
3.172160000E-1,1.618135071E-1,2.396516418E-1,9.706565094E0,9.710871354E0
3.271720000E-1,1.483415222E-1,2.314187622E-1,9.709558868E0,9.713449092E0
3.371280000E-1,1.630110168E-1,2.538720703E-1,9.705367584E0,9.710055796E0
3.470840000E-1,1.658551025E-1,2.519261169E-1,9.706714783E0,9.711399825E0
3.570400000E-1,1.597178650E-1,2.498304749E-1,9.709259491E0,9.713786333E0
3.669960000E-1,1.652563477E-1,2.472857666E-1,9.707463226E0,9.712018441E0
3.769520000E-1,1.556762695E-1,2.406994629E-1,9.703122253E0,9.707355603E0
3.869080000E-1,1.484912109E-1,2.496807861E-1,9.701775055E0,9.706123292E0
3.968640000E-1,1.658551025E-1,2.591111755E-1,9.699080658E0,9.703958580E0
4.068200000E-1,1.525328064E-1,2.438429260E-1,9.695188751E0,9.699454137E0
4.167760000E-1,1.594184875E-1,2.454895020E-1,9.708511047E0,9.712922635E0
4.267320000E-1,1.579216003E-1,2.535726929E-1,9.708810425E0,9.713405078E0
4.366880000E-1,1.529818726E-1,2.493814087E-1,9.699380035E0,9.703791404E0
4.466440000E-1,1.621128845E-1,2.423460388E-1,9.701625366E0,9.706005715E0
4.566000000E-1,1.562750244E-1,2.438429260E-1,9.702373810E0,9.706695565E0
4.665560000E-1,1.645079041E-1,2.453398132E-1,9.706565094E0,9.711058665E0
4.765120000E-1,1.655557251E-1,2.454895020E-1,9.699080658E0,9.703599301E0
4.864680000E-1,1.567240906E-1,2.483335876E-1,9.696535950E0,9.700981468E0
4.964240000E-1,1.520837402E-1,2.345622253E-1,9.707912292E0,9.711936469E0
5.063800000E-1,1.585203552E-1,2.463876343E-1,9.711504822E0,9.715923089E0
