"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.517541667E-3,2.524877055E-2,-5.143817537E-2,1.691248655E-2,5.974461064E-2
1.347354167E-2,4.286959246E-3,-6.096690763E-3,-1.510405970E-1,1.512243684E-1
2.342954167E-2,-5.725739747E-3,-4.803140480E-3,-1.481994349E-1,1.483877581E-1
3.338554167E-2,-7.970357928E-3,-1.795899197E-3,-8.802106082E-2,8.839942878E-2
4.334254167E-2,1.587995963E-2,3.822419889E-2,-1.079290760E-1,1.155938923E-1
5.329854167E-2,4.580083821E-2,4.147852158E-2,2.020739257E-2,6.501171624E-2
6.325454167E-2,3.699211746E-2,-2.427380215E-3,-5.643264771E-2,6.752001671E-2
7.321054167E-2,9.659848765E-2,-3.357632026E-2,-1.383100390E-1,1.720125112E-1
8.316654167E-2,7.675541315E-2,-4.140300114E-2,-1.698984522E-1,1.909740454E-1
9.312254167E-2,4.494571947E-2,1.742855815E-2,-1.145188880E-1,1.242515515E-1
1.030795417E-1,-4.797165357E-3,4.974220874E-2,-1.160186988E-1,1.263235473E-1
1.130355417E-1,-1.589516239E-2,5.658440122E-2,-8.092546463E-3,5.932908189E-2
1.229915417E-1,-1.278557656E-2,3.038567740E-2,1.047353268E-2,3.458981420E-2
1.329475417E-1,-4.777911572E-2,-2.107722072E-2,-1.730407459E-1,1.807489775E-1
1.429035417E-1,-4.586923236E-2,-1.646334730E-2,-5.358388424E-2,7.243107711E-2
1.528605417E-1,-3.328414220E-2,1.556283955E-2,-1.380053991E-1,1.428129066E-1
1.628165417E-1,-2.946956489E-2,-2.864337159E-2,-1.959361035E-1,2.001995370E-1
1.727725417E-1,-8.145421738E-2,-5.824972479E-2,-1.136073071E-1,1.514412103E-1
1.827285417E-1,-7.634727750E-2,-4.036378646E-2,-8.247029901E-2,1.194131159E-1
1.926845417E-1,-8.733335517E-2,-2.024169015E-2,-1.760269189E-1,1.975406721E-1
2.026415417E-1,-3.707328413E-2,8.209276987E-2,-1.191469592E-1,1.493641495E-1
2.125975417E-1,-7.223929787E-2,9.053680709E-2,-7.603543818E-2,1.385525801E-1
2.225535417E-1,-4.142662754E-2,1.702440592E-2,-4.609710932E-2,6.427238407E-2
2.325095417E-1,-2.127133001E-2,-2.400028037E-2,-4.310333490E-2,5.372504461E-2
2.424655417E-1,1.354516642E-2,-8.315003783E-2,-2.339576232E-1,2.486635675E-1
2.524225417E-1,5.120728344E-2,-8.188906750E-2,-2.387511706E-1,2.575463584E-1
2.623785417E-1,2.446237486E-2,-2.612038940E-2,-8.397771120E-2,9.128493033E-2
2.723345417E-1,3.465504019E-2,-3.754285209E-2,-1.772384620E-1,1.844557127E-1
2.822905417E-1,-8.209289778E-3,-1.879662389E-2,-1.604768336E-1,1.617823217E-1
2.922465417E-1,1.107201347E-2,2.393504737E-2,1.361348748E-2,2.967832570E-2
3.022035417E-1,2.939110257E-2,3.088459108E-2,4.564570427E-2,6.245978862E-2
3.121595417E-1,4.987457508E-2,-3.224227801E-3,-6.093149543E-2,7.880682724E-2
3.221155417E-1,2.811434476E-2,-1.763913101E-2,-1.293409950E-1,1.335314506E-1
3.320715417E-1,3.412880905E-2,-2.080874216E-2,-9.835542977E-2,1.061676501E-1
3.420275417E-1,1.273896329E-2,-2.489561699E-2,-1.284416932E-1,1.314509090E-1
3.519835417E-1,2.317761367E-2,1.652368326E-2,-1.278452772E-1,1.309757565E-1
3.619405417E-1,9.512195606E-3,9.962339848E-3,-1.607808888E-1,1.613698370E-1
3.718965417E-1,-7.648751931E-2,3.783588896E-2,-5.704602063E-2,1.026457187E-1
3.818525417E-1,-8.455547092E-2,6.447971379E-2,-1.221582752E-1,1.619564922E-1
3.918085417E-1,-6.507006330E-2,7.537892377E-2,-1.306846851E-1,1.643002806E-1
4.017645417E-1,-5.223801965E-2,2.572186511E-2,-5.987782717E-2,8.352113043E-2
4.117215417E-1,-6.336782919E-2,-1.526192721E-2,-1.145142102E-1,1.317646104E-1
4.216775417E-1,-4.990593078E-2,-3.972695159E-2,-1.365166980E-1,1.506839124E-1
4.316335417E-1,-3.367245214E-2,-5.347381040E-2,-1.796247107E-1,1.904161735E-1
4.415895417E-1,-1.580010859E-2,-4.755376037E-2,-1.294824976E-1,1.388406307E-1
4.515455417E-1,-6.224713722E-2,-4.676405735E-2,-9.909861088E-2,1.260242748E-1
4.615025417E-1,-3.808350027E-2,-4.663775750E-3,-1.038892347E-1,1.107478075E-1
4.714585417E-1,6.465924159E-4,1.064355874E-2,-1.579262781E-1,1.582858577E-1
4.814145417E-1,-1.185705699E-2,4.970261212E-3,-8.352572143E-2,8.450940443E-2
4.913705417E-1,-4.850795288E-3,1.949271664E-2,-7.783287227E-2,8.038315883E-2
5.013265417E-1,4.817466158E-2,-1.122522879E-2,-1.624069995E-1,1.697728991E-1
5.112835417E-1,3.996679706E-2,-2.795597658E-2,-9.803792596E-2,1.095003033E-1
5.212395417E-1,4.478322169E-2,-1.415937988E-2,-1.540203381E-1,1.610226367E-1
5.311955417E-1,2.761689289E-2,-2.539866026E-2,-5.523046017E-2,6.676966711E-2
5.411515417E-1,4.196225077E-2,1.745476099E-2,-3.740463853E-3,4.560142805E-2
5.511075417E-1,1.607383138E-2,4.594060494E-2,-7.768844604E-2,9.167552501E-2
5.610645417E-1,-1.079145676E-2,2.575091846E-2,-9.939214110E-2,1.032393484E-1
5.710205417E-1,2.156873401E-2,1.761493815E-2,-1.010381323E-1,1.048055367E-1
5.809765417E-1,-8.442812953E-3,-1.117910888E-2,-2.041748303E-1,2.046548678E-1
5.909325417E-1,-2.756441412E-2,-1.101619083E-2,-1.431030017E-1,1.461493157E-1
6.008885417E-1,-2.882836288E-2,-2.615642287E-3,-7.933736086E-2,8.445314037E-2
6.108445417E-1,-2.588523997E-2,-1.456870325E-2,-1.676560450E-1,1.702669732E-1
6.208015417E-1,-6.999880929E-2,-3.805488545E-2,-9.895009160E-2,1.270398687E-1
6.307575417E-1,-4.585278707E-2,2.978487600E-2,-8.457763553E-2,1.007124290E-1
6.407135417E-1,-5.300910294E-2,-7.022104003E-3,-1.645096582E-1,1.729817984E-1
6.506695417E-1,-1.924446579E-2,1.040563188E-2,2.575230718E-2,3.379064905E-2
6.606255417E-1,-3.688292071E-2,-6.386966648E-2,-2.448889929E-1,2.557543802E-1
6.705825417E-1,-9.691504128E-3,-8.398372287E-2,-6.152031004E-2,1.045559157E-1
6.805385417E-1,-3.720217869E-3,-4.307632808E-2,-1.360717249E-1,1.427757836E-1
6.904945417E-1,-8.500371482E-3,-1.822657518E-2,-1.522421998E-1,1.535648129E-1
7.004505417E-1,-3.506021569E-2,2.909537964E-2,-7.156231821E-2,8.483469353E-2
7.104065417E-1,6.882611364E-3,6.882576646E-2,-8.488402963E-2,1.094972829E-1
7.203635417E-1,1.135792404E-2,1.285934284E-2,-7.799717903E-2,7.986191254E-2
7.303195417E-1,-3.007011048E-2,-4.905212766E-2,-1.947537965E-1,2.030747744E-1
7.402755417E-1,-1.498221103E-3,-5.143868700E-3,-8.840405345E-3,1.033715717E-2
7.502315417E-1,2.222066201E-2,1.653605377E-2,-1.729039210E-1,1.751084372E-1
7.601875417E-1,4.880614260E-2,3.956187738E-2,-1.041973829E-1,1.216728248E-1
7.701445417E-1,2.762697933E-2,6.044941077E-2,-1.314401454E-1,1.472884689E-1
7.801005417E-1,-6.008891165E-3,8.504007719E-3,-1.034495240E-1,1.039722508E-1
7.900565417E-1,1.564769726E-2,9.642058611E-3,-8.773220837E-2,8.963682340E-2
8.000125417E-1,-3.065247489E-2,8.463113755E-3,-1.559937733E-1,1.592019341E-1
8.099685417E-1,-3.635341879E-2,3.074325291E-2,-8.553891778E-3,4.837238595E-2
8.199242917E-1,-3.857682254E-3,3.241639713E-2,-7.471747577E-2,8.153775629E-2
8.298812917E-1,-1.805651257E-2,-2.030060085E-2,-1.443221462E-1,1.468571889E-1
8.398372917E-1,-2.228799636E-2,-6.538442424E-2,-1.365365785E-1,1.530167147E-1
8.497932917E-1,-3.067732556E-2,-4.552837623E-2,-1.254584438E-1,1.369443407E-1
8.597492917E-1,-3.881730756E-2,-5.675513992E-2,-1.498594594E-1,1.648811294E-1
8.697052917E-1,-4.324770631E-2,-3.009669704E-2,-5.765237689E-2,7.810231645E-2
8.796622917E-1,-4.081002038E-2,-2.995064456E-2,-7.771125019E-2,9.274447303E-2
8.896182917E-1,-3.107811565E-2,-3.605997993E-2,-1.423779470E-1,1.501254516E-1
8.995742917E-1,-4.739266958E-2,-4.337817231E-2,-9.687316060E-2,1.162417318E-1
9.095302917E-1,-4.265346475E-2,-2.464732960E-2,-8.265507102E-2,9.622198126E-2
9.194862917E-1,-1.869263481E-3,1.907096794E-2,-1.375920010E-1,1.389199579E-1
9.294432917E-1,8.460190147E-3,1.881279510E-2,-1.483707583E-1,1.497977903E-1
9.393992917E-1,2.770584365E-2,3.242271943E-2,-1.275692886E-1,1.345093673E-1
9.493552917E-1,9.023149107E-3,2.723675078E-2,-1.355045450E-1,1.385089871E-1
9.593112917E-1,3.074926458E-2,4.473553034E-2,-1.311635721E-1,1.419530471E-1
9.692672917E-1,1.501395045E-2,3.056672182E-2,-9.688602448E-2,1.026968594E-1
9.792242917E-1,1.553077122E-2,2.322291132E-2,-3.970610261E-2,4.854979968E-2
9.891802917E-1,1.019098425E-2,2.979156375E-4,-1.115566885E-1,1.120216036E-1
9.991362917E-1,2.260206493E-2,-1.629171325E-2,-1.458318973E-1,1.484695778E-1
1.009092292E0,1.153655648E-3,-1.628011018E-2,-5.257173121E-2,5.504688757E-2
1.019048292E0,-7.366486732E-3,-2.522766575E-2,-7.172604024E-2,7.638929961E-2
1.029004292E0,-5.921164658E-3,-4.471393218E-2,-1.488139772E-1,1.554991825E-1
1.038961292E0,-2.522317071E-2,-2.239397714E-2,-1.377305800E-1,1.418006037E-1
1.048917292E0,-1.794596365E-2,3.968761079E-3,-1.172191322E-1,1.186513111E-1
1.058873292E0,-2.703966307E-2,2.063378250E-2,-1.173664820E-1,1.221956933E-1
1.068829292E0,-2.087379243E-2,1.885937182E-2,-1.763420838E-1,1.785718949E-1
1.078785292E0,-3.151084615E-2,1.999166686E-2,-5.539184332E-2,6.678964347E-2
1.088742292E0,-1.170426194E-2,-9.832641296E-4,-8.068982184E-2,8.154019809E-2
1.098698292E0,-1.317342969E-2,-2.277165245E-2,-1.410167152E-1,1.434496475E-1
1.108654292E0,-3.646067865E-2,-5.376547683E-2,-1.010545045E-1,1.201337607E-1
1.118610292E0,-2.647222733E-2,-1.945478283E-2,-3.459563613E-2,4.770875637E-2
1.128566292E0,-9.786521383E-3,-1.819763146E-3,-1.015041554E-1,1.019910834E-1
1.138523292E0,-1.132406501E-2,-2.826206004E-2,-1.001534486E-1,1.046789938E-1
1.148479292E0,-2.253281197E-2,-3.725220893E-2,-9.042426646E-2,1.003593675E-1
1.158435292E0,-8.430332802E-3,-1.950715195E-2,-6.692138314E-2,7.021446439E-2
1.168391292E0,2.055380356E-2,-1.034226269E-3,-1.905654359E-1,1.916734562E-1
1.178347292E0,3.545313030E-3,7.898290996E-3,-1.254543507E-1,1.257527191E-1
1.188303292E0,-3.420657702E-3,4.630072033E-2,-9.836010754E-2,1.087665774E-1
1.198260292E0,6.594562903E-4,3.763847234E-2,-1.538928688E-1,1.584301251E-1
1.208216292E0,3.665729128E-3,-5.459837615E-5,-1.314378065E-1,1.314889255E-1
1.218172292E0,-1.733458243E-2,2.357140537E-2,-9.700530767E-2,1.013219059E-1
1.228128292E0,-1.130290540E-2,1.914610466E-2,-8.936708987E-2,9.209129028E-2
1.238084292E0,-3.717897255E-3,1.514977030E-4,-1.245433545E-1,1.245989280E-1
1.248041292E0,-6.450337674E-3,-1.968452359E-2,-1.269360352E-1,1.286151015E-1
1.257997292E0,-1.369443487E-2,-1.231211655E-2,-9.804201901E-2,9.975651985E-2
1.267953292E0,-2.054612909E-2,-3.884484429E-2,-1.406997961E-1,1.474025033E-1
1.277909292E0,-2.069382610E-2,-4.954449976E-2,-1.299204540E-1,1.405781500E-1
1.287865292E0,-2.760327984E-2,-2.754948545E-2,-7.588224113E-2,8.531722994E-2
1.297822292E0,-1.845646212E-2,-2.189155513E-2,-8.097107291E-2,8.588478229E-2
1.307778292E0,-2.233091857E-2,-1.541930867E-2,-1.031261730E-1,1.066369193E-1
1.317734292E0,-1.671019116E-2,-1.401864471E-2,-8.681010246E-2,8.950836150E-2
1.327690292E0,4.663885385E-3,6.899988558E-3,-7.962387443E-2,8.005824784E-2
1.337646292E0,6.327948142E-3,-2.495441806E-2,-1.071677685E-1,1.102165891E-1
1.347603292E0,5.670976918E-3,-1.158556346E-2,-8.501383781E-2,8.598684713E-2
1.357559292E0,-1.789302807E-3,1.165468851E-2,-1.131564867E-1,1.137691692E-1
1.367515292E0,1.489030011E-2,3.583296178E-2,-1.252806884E-1,1.311524802E-1
1.377471292E0,8.361445293E-3,2.991039013E-2,-1.368055505E-1,1.402865063E-1
1.387427292E0,-2.289325627E-2,2.386290735E-2,-1.186891222E-1,1.232097693E-1
1.397383292E0,-1.014155701E-2,2.256754808E-2,-1.029700524E-1,1.059007889E-1
1.407340292E0,-9.188881125E-3,-4.154062998E-3,-1.564077562E-1,1.567325045E-1
1.417296292E0,-2.287788905E-2,-2.421240639E-2,-1.580560863E-1,1.615282169E-1
1.427252292E0,-1.539350783E-2,-8.388580028E-3,-9.817884386E-2,9.973170880E-2
1.437208292E0,-1.287991773E-2,2.698855475E-3,-1.480281115E-1,1.486119036E-1
1.447164292E0,-2.384395871E-2,-1.084139563E-2,-1.245269823E-1,1.272518744E-1
1.457121292E0,-4.063149758E-2,-9.297621064E-3,-6.644892812E-2,7.843994136E-2
1.467077292E0,-3.724665407E-2,1.009143541E-2,-5.207530260E-2,6.481502487E-2
1.477033292E0,-2.896902496E-2,-9.533684123E-3,-1.023712975E-1,1.068174990E-1
1.486989292E0,-3.946364416E-2,-1.109362990E-3,-8.755328357E-2,9.604263304E-2
1.496945292E0,-2.655651860E-2,1.551578773E-2,-7.438126087E-2,8.048950440E-2
